,id,location.city.name,location.city.normalized_name,location.district.name,location.region.name,location.region.normalized_name,title,price,currency,floor_select,furniture,builttype,m,rooms,rent
16772,768714628,Bydgoszcz,bydgoszcz,,Kujawsko-pomorskie,kujawsko-pomorskie,Rezerwacja fordon kawalerka do wynajęcia,1400.0,PLN,3,no,blok,31,one,1
16773,747870652,Bydgoszcz,bydgoszcz,,Kujawsko-pomorskie,kujawsko-pomorskie,Komfortowe mieszkanie 3-pokojowe do wynajęcia,2200.0,PLN,Parter,yes,apartamentowiec,66,three,369
16774,768712293,Grudziądz,grudziadz,,Kujawsko-pomorskie,kujawsko-pomorskie,Całkowity koszt - 450 zł. + media ! PARTER,450.0,PLN,4,no,kamienica,30,one,250
16775,768708296,Bydgoszcz,bydgoszcz,,Kujawsko-pomorskie,kujawsko-pomorskie,"Mieszkanie, 36 m², Bydgoszcz",1300.0,PLN,Parter,no,blok,36,two,1
16776,768708266,Bydgoszcz,bydgoszcz,,Kujawsko-pomorskie,kujawsko-pomorskie,"Mieszkanie, 57 m², Bydgoszcz",2500.0,PLN,1,no,blok,57,four,50
16777,768708026,Bydgoszcz,bydgoszcz,,Kujawsko-pomorskie,kujawsko-pomorskie,Dwupokojowe mieszkanie w centrum,2250.0,PLN,1,no,pozostale,48,two,1
16778,768706907,Bydgoszcz,bydgoszcz,,Kujawsko-pomorskie,kujawsko-pomorskie,Mieszkanie kawalerka wolne od zaraz,1300.0,PLN,4,yes,pozostale,32,one,350
16779,768706427,Bydgoszcz,bydgoszcz,,Kujawsko-pomorskie,kujawsko-pomorskie,Stylowe 3pok. mieszkanie 124m2 - plac Weyssenhoffa,3800.0,PLN,1,yes,kamienica,124,three,1
16780,768702028,Mogilno,mogilno,,Kujawsko-pomorskie,kujawsko-pomorskie,wynajmę mieszkanie w Mogilnie o powierzchni 85 m2,500.0,PLN,2,yes,kamienica,85,three,1
16781,768698635,Bydgoszcz,bydgoszcz,,Kujawsko-pomorskie,kujawsko-pomorskie,"2 pokoje + kuchnia, Sienkiewicza, 2 piętro, 51m2",2200.0,PLN,Parter,no,kamienica,51.41,two,100
16782,691218480,Dąbrówka,dabrowka_132243,,Kujawsko-pomorskie,kujawsko-pomorskie,"Wynajme mieszkanie, apartament dla szukających ""świętego spokoju""",1200.0,PLN,10,yes,wolnostojacy,43,two,10
16783,681041171,Toruń,torun,,Kujawsko-pomorskie,kujawsko-pomorskie,UMK Gagarina dla studentów 4 pokoje,750.0,PLN,2,yes,blok,49,four,600
16784,769266880,Inowrocław,inowroclaw,,Kujawsko-pomorskie,kujawsko-pomorskie,Mieszkanie do wynajecia,1000.0,PLN,3,yes,blok,35,one,500
16785,677473030,Bydgoszcz,bydgoszcz,,Kujawsko-pomorskie,kujawsko-pomorskie,2 pokoje 32 m2 Fordońska Brak kaucji Fordońska,1300.0,PLN,2,no,kamienica,32,two,530
16786,625964265,Bydgoszcz,bydgoszcz,,Kujawsko-pomorskie,kujawsko-pomorskie,Tania Kawalerka Aleje Mickiewicza IIIp. 1700zł + prąd Kaucja 0zł,1700.0,PLN,Parter,no,kamienica,26,one,300
16787,762703271,Bydgoszcz,bydgoszcz,,Kujawsko-pomorskie,kujawsko-pomorskie,Mała kawalerka 2 piętro ulica Sienkiewicza - początkowa część,1500.0,PLN,3,no,kamienica,21.5,one,550
16788,742114617,Mogilno,mogilno,,Kujawsko-pomorskie,kujawsko-pomorskie,wynajem mieszkania,1500.0,PLN,2,yes,wolnostojacy,55,two,350
16789,768686937,Toruń,torun,,Kujawsko-pomorskie,kujawsko-pomorskie,"3 pokojowe z balkonem, ul. Krasińskiego, Wynajem",1500.0,PLN,1,yes,blok,57,three,280
16790,768679887,Toruń,torun,,Kujawsko-pomorskie,kujawsko-pomorskie,Kawalerka centrum Toruń,1800.0,PLN,1,yes,apartamentowiec,25,one,450
16791,768680387,Osielsko,osielsko,,Kujawsko-pomorskie,kujawsko-pomorskie,Nowy apartament w Osielsku,4500.0,PLN,1,yes,apartamentowiec,80,three,400
16792,768680356,Bydgoszcz,bydgoszcz,,Kujawsko-pomorskie,kujawsko-pomorskie,M3 Szwederowo umeblowane komfortowe.,2900.0,PLN,5,no,pozostale,49,two,500
16793,743866903,Toruń,torun,,Kujawsko-pomorskie,kujawsko-pomorskie,Mieszkanie 2 pokojowe Wynajmę,1500.0,PLN,4,yes,blok,52.5,two,700
16794,693997793,Grudziądz,grudziadz,,Kujawsko-pomorskie,kujawsko-pomorskie,Wynajmę mieszkanie od 1 sierpnia.,1000.0,PLN,Parter,no,kamienica,42,two,500
16795,760961406,Toruń,torun,,Kujawsko-pomorskie,kujawsko-pomorskie,Wynajmę 3 pokojowe - ul. Bema-centrum Torunia - studenci lub pracujący,1900.0,PLN,3,yes,blok,48,three,650
16796,716784743,Bydgoszcz,bydgoszcz,,Kujawsko-pomorskie,kujawsko-pomorskie,Nowe mieszkanie w Fordonie 40m2 Active Park,2150.0,PLN,Parter,no,apartamentowiec,40,two,1
16797,768468813,Włocławek,wloclawek,,Kujawsko-pomorskie,kujawsko-pomorskie,45-mkw 2 pokoje na wynajem nowocześnie urządzone na parterze- Zazamcze,1700.0,PLN,2,yes,blok,45,two,152.52
